CASE_ID,CATEGORY,CASE_TITLE,CASE_DESCRIPTION,LAST_UPDATE,STATUS,DATE_CREATED,DATE_CLOSED,REQUIRED_ESCALATION
CASE-16636,Order Issues,Order Not Delivered Despite Marked as Shipped,"I placed an order for a laptop two weeks ago, and the status shows it was shipped last week. However, I have yet to receive the package. The tracking number provided doesn't seem to update with any information. I'm concerned about the whereabouts of my order and when I can expect it to arrive.","('The support agent contacted the shipping carrier to confirm the package status and found it was held up due to a clerical error at a distribution center. They have expedited the delivery and assured the customer it will arrive within the next two business days.',)",Resolved,2024-05-28 03:18:38.827004,2024-05-31 20:54:17.827004,False
CASE-55847,Product Inquiry,Inquiry about missing accessory in product package,"I recently purchased a new smartphone from your online store, and while the product itself is great, I noticed that the package did not include the advertised earbuds. Could you please check if it's possible to send me the missing accessory?","(""We've confirmed the earbuds were missing from the package in our inventory records and have shipped a replacement set. Apologies for any inconvenience caused."",)",Open,2024-06-01 01:31:31.827004,2024-06-05 10:13:22.827004,True
CASE-82217,Payments and Billing,Refund Not Processed for Cancelled Order #12345,"I placed an order (#12345) recently but had to cancel it due to a change in plans. The order showed as cancelled in my account, but I haven't received the refund yet. My credit card statement still shows the charged amount. Can you please look into this and process the refund as soon as possible? Thank you!","('The refund has been processed and should reflect in your account within 3-5 business days. Apologies for the delay and inconvenience caused. Please reach out if you have any other questions or issues.',)",Resolved,2024-03-10 18:37:35.827004,2024-03-15 22:13:05.827004,False
CASE-90469,Payments and Billing,Refund not processed after order cancellation,"I canceled my order #12345 nearly two weeks ago, but the refund has not been processed yet. I was assured that it would take 5-7 business days. Can someone look into this matter urgently?","('The issue with the delayed refund has been identified and resolved. The refund has been processed and should reflect in your account within the next 2-3 business days. We apologize for the inconvenience caused.',)",Resolved,2024-05-09 21:01:59.827004,2024-05-10 03:32:14.827004,False
CASE-80741,Shipping and Delivery,Order Not Received Despite Confirmed Shipment,"I placed an order for a laptop two weeks ago and received a shipment confirmation with a tracking number. However, the tracking number shows no updates and I haven't received the package yet. Can you please help me locate my order?","('After investigating with the shipping carrier, it was found that the package was delayed due to a sorting error at their facility. The package has now been expedited and the customer has been informed of the new estimated delivery date.',)",Resolved,2024-06-04 13:37:09.827004,2024-06-07 23:45:49.827004,False
CASE-50634,Shipping and Delivery,Package Not Delivered Despite Marking as Shipped,"I placed an order two weeks ago and it was marked as shipped five days ago, but I still haven't received it. The tracking link provided does not show any updates since it was marked as shipped. I've tried contacting the shipping carrier directly, but they said they have no record of the package in their system. This is very frustrating as the item was a gift for a birthday happening this week. Can you please help locate my package or issue a refund?","('The support team has initiated an investigation with the shipping carrier and issued a partial refund as a gesture of goodwill. They have also expedited a replacement order to ensure timely delivery before the birthday.',)",Resolved,2024-03-20 19:11:20.827004,2024-03-26 20:46:52.827004,False
CASE-43350,Shipping and Delivery,Package Marked as Delivered but Not Received,"I received a notification that my package was delivered today, but when I checked my mailbox and front door, there was nothing there. I double-checked the address, and it was correct. Can you help me locate my order?","('Our team has reached out to the courier service and we have confirmed that the package was mistakenly delivered to a neighboring address. We have arranged for it to be picked up and redelivered. Please expect to receive your package within the next 24-48 hours. We apologize for the inconvenience.',)",In Progress,2024-03-07 06:06:35.827004,2024-03-07 09:47:45.827004,False
CASE-59729,Shipping and Delivery,"Package not delivered, tracking showing error",I placed an order two weeks ago and have not yet received my package. The tracking information on your website shows an error message and hasn't updated in over a week. I need this resolved as soon as possible as it's a gift for a birthday that is fast approaching.,"('Spoke with the shipping carrier who confirmed the package was lost in transit. Issued a replacement order with expedited shipping at no extra cost to the customer. Informed the customer of the resolution steps taken.',)",Resolved,2024-04-15 20:45:26.827004,2024-04-20 12:50:27.827004,False
CASE-28964,Payments and Billing,Unexpected charge on credit card after order cancellation,"I recently canceled my order of a smartphone, but I noticed a charge on my credit card statement for the canceled order. The cancellation was confirmed, and I should not have been charged any amount. I need this charge to be reversed immediately. Please assist.","('The charge has been reviewed and confirmed as a mistake. We have processed a refund which should reflect in your bank account within 3-5 business days. Apologies for the inconvenience.',)",Open,2024-05-17 08:24:04.827004,2024-05-24 05:53:11.827004,False
CASE-76205,Shipping and Delivery,Order did not arrive on the estimated delivery date,"I placed an order last week and it was supposed to arrive yesterday. However, I still haven't received any updates on its shipping status, and the tracking number doesn't show any progress. Can someone please help me locate my package?","('The tracking information has now been updated, and the package is out for delivery. Apologies for the delay and thank you for your patience.',)",Resolved,2024-03-28 10:11:54.827004,2024-04-01 15:11:19.827004,False
CASE-33352,Order Issues,Missing Items in Order #12345,"I received my package today, but two of the items I ordered were missing. The packing slip lists the missing items, but they weren't in the box. Could you please help me get the missing items shipped as soon as possible?","('Customer service shipped the missing items to the customer with expedited delivery. The customer has been notified and provided with a new tracking number.',)",Resolved,2024-04-18 20:15:08.827004,2024-04-21 19:00:50.827004,False
CASE-46230,Shipping and Delivery,Order not delivered after more than a week,"I placed an order over a week ago and haven't received any shipping updates. The tracking link provided shows no progress, and I urgently need the items for an event this weekend. Can you please look into this and provide an update on when I can expect the delivery?","('Customer was contacted via email. Shipping carrier reported a delay due to weather conditions. A new expedited shipping label has been created, and the package is expected to arrive within the next two days. Customer has been notified of the new delivery timeline.',)",Resolved,2024-03-20 08:24:07.827004,2024-03-26 04:56:50.827004,True
CASE-61389,Shipping and Delivery,Expedited Shipping Order Delayed,"I placed an order with expedited shipping expecting it to arrive in 2 days, but it has been a week and the package has not arrived yet. The tracking status hasn't been updated since it was dispatched. I need this item urgently.","('The package was delayed due to weather conditions. A replacement has been shipped with priority overnight delivery and should arrive by tomorrow. Sorry for the inconvenience.',)",Resolved,2024-04-11 06:11:51.827004,2024-04-14 20:16:51.827004,False
CASE-82313,Account Management,Unable to Update Payment Method,I am trying to update my payment method on my account but keep receiving an error message. I've tried multiple cards and browsers but the issue persists. Can you please assist?,"('Our technical team has identified the issue with the payment gateway and has implemented a fix. Please try updating your payment method again. If you encounter any further issues, kindly reach out to us.',)",In Progress,2024-05-08 03:05:25.827004,2024-05-09 18:42:00.827004,False
CASE-66621,Returns and Refunds,Refund Not Received After Return Confirmation,"I returned a pair of shoes two weeks ago, and the return has been confirmed by the warehouse. However, I still haven't received my refund. The return tracking number is RTN12345678. Can someone please update me on the refund status?","(""The refund has been successfully processed and should reflect in your account within 3-5 business days. If you have any further issues, please don't hesitate to contact us."",)",Resolved,2024-03-04 14:56:38.827004,2024-03-05 05:25:26.827004,False
CASE-66374,Order Issues,Incorrect Item Received in My Order,"Hello, I recently received my order #12345, but unfortunately, the item I received is not what I ordered. I ordered a blue T-shirt, but I got a red one instead. Can you please help me with a replacement or refund?","('Support agent confirmed the incorrect item was shipped and has processed a replacement order. The customer was notified and offered a complimentary discount on their next purchase as an apology for the inconvenience.',)",Resolved,2024-04-07 16:33:27.827004,2024-04-12 06:19:46.827004,False
CASE-54802,Promotions and Discounts,Discount Code Not Being Applied at Checkout,"I tried to use the promo code SUMMER20 for a discount on my order, but it is not being applied at checkout. The website shows the code is valid, but the discount is not reflected in the total. Please help!","(""The issue was resolved by confirming that the promo code was active and not expired. It was then applied manually to the customer's account, and a successful checkout was confirmed."",)",Resolved,2024-05-04 03:52:37.827004,2024-05-05 19:45:23.827004,False
CASE-97115,Account Management,Unable to Access My Account After Password Reset,"I reset my password yesterday as I could not remember the old one. However, now when I try to log in with the new password, it keeps saying 'Invalid Credentials'. I've tried resetting my password again but the issue persists. I need urgent access to my account.","('We found an issue with the password reset token not being validated properly. This has been corrected, and the user should now be able to access their account with the new password. Informed the customer to try logging in again and to reach out if the problem continues.',)",Resolved,2024-03-31 21:33:53.827004,2024-04-07 10:31:04.827004,False
CASE-31953,Account Management,Unable to Update Billing Address in Account Settings,"I tried multiple times to update my billing address in the account settings, but the changes do not seem to save. Every time I log back in, the old address is still there. I’ve also tried using different browsers, but the issue persists. Need help resolving this as it’s affecting my orders.","(""Support agent resolved the issue by identifying a bug in the address update module. The customer's address was updated manually, and the system bug is being addressed by the engineering team for a permanent fix. Customer confirmed the new address is correctly reflected."",)",Resolved,2024-05-14 18:18:06.827004,2024-05-15 01:00:39.827004,False
CASE-29371,Promotions and Discounts,Promo Code Not Applied During Checkout,"I attempted to use the promo code 'SAVE20' for my purchase, but it was not applied at checkout. The discount should have reduced my total by 20%. The code was supposed to be valid until the end of this month. Could you please assist me in applying the promotion correctly?","(""Reviewed the issue and confirmed that the promo code 'SAVE20' had expired a day earlier than stated. Issued a new promo code 'SAVE20-EXT' to the customer valid for 7 more days. Customer was satisfied with the resolution."",)",Resolved,2024-06-21 16:23:28.827004,2024-06-27 02:32:29.827004,False
CASE-45374,Shipping and Delivery,Package Marked Delivered but Not Received,"I received a notification that my package was delivered today, but there is no package at my doorstep or mailbox. I checked with my neighbors and they have not seen it either. Please assist in locating my order.","('The support agent has filed an inquiry with the shipping carrier to trace the package. A replacement order has been processed and is being expedited to the customer.',)",Open,2024-06-19 21:11:22.827004,2024-06-21 10:56:18.827004,False
CASE-66089,Product Inquiry,Issue with Color Options for Running Shoes,"I am interested in purchasing the new XYZ Running Shoes model, but I am unable to find the color options listed on your website. The description mentions multiple colors, but only one is available to select. Could you please clarify if other colors will be available soon or if they are out of stock?","('Support agent confirmed that the color options are currently limited due to high demand. The remaining colors will be restocked within two weeks, and the customer will be notified via email once available.',)",Resolved,2024-05-08 09:42:28.827004,2024-05-10 05:29:11.827004,False
CASE-19763,Order Issues,Order Delivered to Wrong Address,"I placed an order for a new laptop and received a confirmation that it was shipped to my address. However, I received a notification from the delivery company that it was delivered to a different address. I urgently need the laptop as it's for my work. Please help me retrieve my order or issue a replacement as soon as possible.","('Thank you for bringing this to our attention. We have contacted the delivery service and confirmed the mishap. A replacement laptop has been shipped to your correct address with expedited shipping. We apologize for the inconvenience caused.',)",Resolved,2024-05-23 05:42:53.827004,2024-05-28 14:23:05.827004,False
CASE-69894,Order Issues,Order Status Stuck at Processing for Two Weeks,"I placed an order for a pair of running shoes two weeks ago and the order status is still showing 'Processing'. I haven't received any shipping updates or estimated delivery date. I've tried contacting customer support via chat and phone, but haven't gotten any responses. Can someone please look into this and provide an update on my order?","('Customer was informed that the delay was due to inventory issues. We expedited shipping and provided a 10% discount on the next purchase as a gesture of goodwill. Customer has been notified and tracking information has been sent.',)",Resolved,2024-05-03 18:24:13.827004,2024-05-07 16:20:49.827004,False
CASE-62358,Technical Support,Incompatible Payment Gateway Error During Checkout,"When trying to complete a purchase, the checkout process fails with an overriding error indicating that the selected payment gateway is not supported. I've tried multiple payment methods but none seem to work. This issue is affecting my ability to finalize any orders.","('Upon investigation, it was found that the payment integration settings were improperly configured. The necessary adjustments have been made to ensure compatibility with all listed payment methods. The customer has been informed, and the checkout process is now functioning correctly.',)",Closed,2024-06-17 10:08:49.827004,2024-06-22 11:16:23.827004,False
CASE-35351,Returns and Refunds,"Faulty product received, requesting a full refund",I ordered a blender from your website and it arrived with a cracked jar and a faulty motor. The product is not usable and I would like to request a full refund. I am unhappy with the quality and would prefer my money back instead of a replacement. Please instruct me on the return process and expedite the refund.,"('The refund has been processed and the return label has been emailed to the customer. They were informed to expect the credited amount within 5-7 business days.',)",Resolved,2024-04-15 20:16:49.827004,2024-04-22 07:45:02.827004,False
CASE-37106,Shipping and Delivery,Package Tracking Number Not Updating for 5 Days,"I ordered an item from your store a week ago and received a tracking number. However, the tracking information has not been updated for the past 5 days. I am worried that my package is lost or delayed. Can you please look into this and provide an update on the whereabouts of my package? Thank you.","('Spoke with the shipping carrier and confirmed that the package was delayed but is now back on track. Estimated delivery is now updated and the tracking information should reflect this within the next 24 hours. Apologized to the customer for the delay and inconvenience.',)",In Progress,2024-05-10 04:07:34.827004,2024-05-15 08:23:08.827004,False
CASE-55433,Shipping and Delivery,Package not delivered despite tracking showing 'Delivered',"I received a notification that my package was delivered today, but there is no package at my front door. I've checked with my neighbors and none of them have seen it either. Could you please help find out what's happened to it?","('The package was delivered to the wrong address by the courier. We have contacted the shipping company and they confirmed they will retrieve the package and deliver it to the correct address within the next 24-48 hours. We apologize for the inconvenience and appreciate your patience.',)",Resolved,2024-03-30 23:23:09.827004,2024-04-01 18:57:49.827004,False
CASE-87669,Shipping and Delivery,Package delayed beyond expected delivery date,"I placed an order two weeks ago, and the expected delivery date was last Friday. However, it’s now Tuesday, and I still haven't received my package. The tracking information hasn’t updated for several days, and I'm starting to worry that my order might be lost. Can you please help me locate it or provide an update?","('Contacted the shipping carrier and confirmed that the package was delayed due to a logistical issue at their sorting facility. The package has now been located and expedited shipping has been arranged. Expected delivery within the next 48 hours.',)",Resolved,2024-06-23 11:10:30.827004,2024-06-25 06:35:09.827004,False
CASE-76325,Shipping and Delivery,Missing Item in Package Delivery,"I recently placed an order for multiple items, but when the package arrived, one of the items was missing. I was supposed to receive three books, but only two were in the box. The packing slip, however, lists all three books. Can you help me locate the missing item or send a replacement?","('Support agent confirmed the missing item and processed a replacement order to be shipped out immediately. Customer was notified and apologized to for the inconvenience.',)",Open,2024-06-08 16:23:45.827004,2024-06-10 01:17:23.827004,False
CASE-13065,Returns and Refunds,"Received Wrong Item, Requesting Refund",I ordered a blue dress but received a red one instead. I would like to return this incorrect item and get a refund. Please guide me on the steps to return it and process my refund as soon as possible.,"('Customer has shipped back the incorrect item. Refund has been processed and customer notified via email.',)",In Progress,2024-06-12 19:39:49.827004,2024-06-19 18:58:40.827004,False
CASE-91735,Shipping and Delivery,Package marked as delivered but not received,"I received a notification that my package was delivered today, but I checked my front porch and mailbox and there's nothing there. This has happened to me once before, and it turned out the package was delivered to the wrong address. Please help me locate my package ASAP as it contains items needed for a family event this weekend.","('We have investigated the issue and confirmed that the package was misdelivered due to an error at the local sorting facility. We have initiated a trace and the carrier will retrieve it and deliver to your correct address within 48 hours. We apologize for the inconvenience.',)",Resolved,2024-05-29 01:38:22.827004,2024-05-29 22:40:28.827004,False
CASE-22803,Shipping and Delivery,Package not delivered after expected arrival date,I placed an order two weeks ago and the tracking information has not been updated for the past five days. The package was supposed to arrive three days ago and I haven't received any notifications regarding delays. Can you please help me locate my package or provide an update on its status?,"('The package was located at a regional distribution center. It has been expedited for delivery and is expected to arrive within the next 48 hours. We apologize for the inconvenience.',)",Resolved,2024-05-24 04:28:20.827004,2024-05-24 17:06:03.827004,False
CASE-43621,Shipping and Delivery,Package not delivered despite scheduled date,I placed an order two weeks ago and it was supposed to arrive yesterday. The tracking status shows 'Out for Delivery' but I have not received anything yet. Can you please provide an update on where my package is? This is quite urgent.,"('We have contacted the shipping carrier and confirmed that there was a delay due to unexpected weather conditions. Your package is now set to be delivered tomorrow. We apologize for the inconvenience and appreciate your patience.',)",Resolved,2024-05-21 13:09:30.827004,2024-05-28 05:11:58.827004,False
CASE-89555,Promotions and Discounts,Discount code not applying at checkout for holiday sale,"I tried using the 'HOLIDAY25' discount code that's promoted all over the site for the holiday sale, but it's not being applied to my order when I reach the checkout page. I made sure that my cart meets the minimum purchase requirement. Can someone help me fix this? Thanks!","('The issue was resolved by confirming that the customer was entering the discount code in the correct field. Also ensured that all items in the cart were applicable for the discount. Provided the customer with a new discount code as a gesture of goodwill.',)",Resolved,2024-04-12 14:52:08.827004,2024-04-18 22:00:29.827004,False
CASE-49722,Promotions and Discounts,Discount Code Not Applying at Checkout,"I tried to use the promotion code WINTER20 at checkout, but it keeps saying the code is invalid. I have double-checked the spelling and the promotion should still be active. Can you help me apply the discount to my order?","('The promotion code WINTER20 was not active due to an expired date in our system. We have reactivated the code for another week, and you should be able to apply it now. Please try again and let us know if there are any further issues.',)",Resolved,2024-05-31 05:04:13.827004,2024-06-01 03:57:33.827004,True
CASE-21315,Returns and Refunds,Request for Refund on Damaged Product,"I received my order yesterday, and the product is damaged. The screen is cracked, and it's not functioning properly. I would like a refund or a replacement as soon as possible. The order number is #123456789. Please assist.","('Customer has been issued a full refund. The damaged product does not need to be returned. Apologized for the inconvenience caused and provided a discount code for future purchases.',)",Resolved,2024-05-11 02:07:44.827004,2024-05-14 19:56:52.827004,False
CASE-16032,Shipping and Delivery,Missing Package and Delivery Confirmation,"I ordered a package that was supposed to be delivered three days ago, but I haven't received it yet. The tracking information says it was delivered, but I never got it. Can you please help me locate my package?","('Spoke with the delivery service and confirmed the package was left at the wrong address. A replacement order has been shipped to the correct address and will arrive within 3 business days. Customer has been notified and is satisfied with the resolution.',)",Closed,2024-03-21 11:50:33.827004,2024-03-28 03:17:00.827004,False
CASE-63226,Shipping and Delivery,Delayed Delivery of Recent Order,I placed an order two weeks ago and it still hasn't arrived. My order number is #1234567. I need help tracking it down as it's showing as 'in transit' for the past week with no further updates. It's a birthday gift and the event is approaching soon. Can you please expedite the shipping process?,"('Reached out to the shipping carrier and expedited the delivery. Provided the customer with a new expected delivery date and offered a discount on their next purchase as a token of apology.',)",Resolved,2024-05-10 05:51:16.827004,2024-05-16 22:35:48.827004,False
CASE-74428,Product Inquiry,Question About Available Sizes for New Winter Jacket,"I'm interested in purchasing the new winter jacket listed on your site, but I noticed that the available sizes are limited. Will you be restocking the medium and large sizes anytime soon? Also, are there any color options other than the ones currently displayed?","(""Thank you for reaching out! We have confirmed that the medium and large sizes will be restocked next week. We're also excited to inform you that we will be adding two new color options. Please check back on our website for updates. If you have any other questions, feel free to contact us again!"",)",Open,2024-03-16 14:02:06.827004,2024-03-20 12:25:33.827004,False
CASE-85927,Shipping and Delivery,Package Not Delivered Despite Out for Delivery Notification,"I received an email notification saying my package was out for delivery this morning, but by the end of the day, it still hasn't arrived. The tracking information hasn't been updated, and I'm unable to reach the delivery service. This package contains items needed urgently for a birthday party.","('Upon investigation, it was found that the package was delayed due to an internal error at the delivery warehouse. The package is now out for delivery again and should arrive within the next 24 hours. We have also provided a 10% discount on your next purchase as a gesture of goodwill.',)",Resolved,2024-03-22 18:05:47.827004,2024-03-24 23:22:08.827004,False
CASE-44040,Shipping and Delivery,Package Not Delivered Even After Two Weeks of Expected Date,"I placed an order on the 1st of this month, and the expected delivery date was the 7th. However, it is now the 21st, and I still have not received my package. I have checked the tracking information, but there have been no updates for over a week. Can someone please look into this matter and provide me with an update on the status of my order?","('The package was delayed due to unexpected customs hold. It has now been released and expedited shipping arranged to ensure it reaches you by the 23rd. We apologize for the inconvenience caused and appreciate your patience.',)",Open,2024-06-06 01:23:30.827004,2024-06-07 09:11:54.827004,False
CASE-88110,Shipping and Delivery,Package Not Delivered Despite Tracking Indicating Otherwise,"I ordered a laptop from your store two weeks ago. According to the tracking information, it was supposed to be delivered three days ago, but I still haven't received it. The tracking status is showing 'delivered', but I checked with my neighbors and the leasing office, and no one has seen it. I need this resolved as soon as possible because this laptop is crucial for my work.","('The package was confirmed lost in transit after an investigation with the shipping carrier. A replacement laptop has been shipped with expedited shipping at no extra cost to the customer. The customer has been informed of the new tracking number.',)",Resolved,2024-03-12 07:47:29.827004,2024-03-15 00:46:07.827004,False
CASE-49418,Order Issues,Order not received after 3 weeks despite payment confirmation,"I placed an order for a smartphone on your website three weeks ago and received an immediate confirmation that my payment was successful. However, I have yet to receive my order. The tracking number provided does not show any updates, and I have tried reaching out via phone and email multiple times with no response. I need to know the status of my order, or I will be forced to request a refund.","('We apologize for the delay and inconvenience caused. Upon investigation, we found that the package was held up in transit due to a labeling error. We have now corrected this issue and expedited the shipping. You should receive your smartphone within the next 3-5 business days. Thank you for your patience.',)",Resolved,2024-03-19 17:20:26.827004,2024-03-24 09:52:05.827004,False
CASE-83610,Technical Support,Unable to Process Payment at Checkout,"I am trying to make a purchase on your ecommerce site, but every time I enter my credit card details and click 'Submit', the page just reloads and my cart is still full. The payment is not processed and there's no error message explaining what's wrong. I've tried different browsers and cleared my cache, but the issue persists.","('Confirmed there was an issue with the third-party payment gateway we are using. The problem has been identified and resolved. The customer has been notified to try again, and I am monitoring for any further issues.',)",Resolved,2024-06-16 02:06:32.827004,2024-06-22 18:17:00.827004,True
CASE-16787,Shipping and Delivery,Package Not Delivered Despite Marked as Delivered,"I received a notification saying my package has been delivered, but I have not received anything. I checked with my neighbors, and they haven't seen it either. The tracking number is 123456789. Can you help me locate my package?","('Agent confirmed that the package was delivered to the wrong address. The correct delivery address has now been updated in our system and a replacement package is being shipped to you with expedited delivery.',)",Resolved,2024-04-01 13:01:15.827004,2024-04-08 12:43:10.827004,False
CASE-98272,Promotions and Discounts,Promo Code Not Applying at Checkout,"I tried to use the promo code SUMMER21 during checkout, but it didn't apply any discount. The code is supposed to give 15% off on all items, and it shows as valid when I enter it, but the final price remains the same. Please help as I would like to place my order soon.","('The issue was due to an incorrect validation rule in the promo code settings. We have fixed it, and you should now be able to apply the SUMMER21 code correctly. Please let us know if you encounter any other issues.',)",Resolved,2024-05-13 23:31:47.827004,2024-05-14 06:21:18.827004,False
CASE-47135,Returns and Refunds,Refund Request for Damaged Product on Arrival,"I recently ordered a blender from your site, but when it arrived, the glass jar was shattered. I would like to return it and get a full refund. How should I proceed?","(""The damaged item has been verified and a full refund has been issued back to the customer's original payment method. The customer has been informed and a new replacement item is being shipped as a gesture of goodwill."",)",Open,2024-04-21 23:00:35.827004,2024-04-27 11:58:07.827004,False
CASE-72340,Shipping and Delivery,Order Stuck in Transit for Over Two Weeks,"I placed an order on your site over two weeks ago and it's still showing as 'in transit'. The estimated delivery date has already passed, and I haven't received any new updates on its status. Can you please look into this and provide me with an update on when I can expect my package?","('The case was resolved by coordinating with the shipping carrier. The package was located and delivery was expedited. The customer has been notified and given a complimentary shipping coupon for future use.',)",Closed,2024-05-01 23:23:08.827004,2024-05-03 08:24:34.827004,False
CASE-53013,Shipping and Delivery,Order Not Delivered After Expected Date,"I placed an order two weeks ago and the expected delivery date was three days ago. However, I still have not received my package. Can you please look into this and let me know the status of my shipment?","('The package was delayed due to a carrier issue. We have expedited your shipment and it should arrive within the next two days. A 10% discount has been applied to your account for the inconvenience.',)",Resolved,2024-05-27 18:30:26.827004,2024-06-02 04:23:43.827004,False
CASE-28060,Technical Support,Payment gateway not processing orders successfully,"I have been experiencing an issue where customers are unable to complete their purchases because the payment gateway is not processing orders. Multiple customers have reached out to me complaining that their payments are getting declined, even when they use valid cards. This is severely affecting my sales. I need immediate assistance to resolve this issue.","('Our support team identified an issue with the payment gateway integration and has since corrected the error. We have conducted multiple test transactions, all of which have been successful. Please confirm if you are still experiencing any issues.',)",Resolved,2024-06-20 14:06:33.827004,2024-06-22 08:17:58.827004,True
CASE-97467,Shipping and Delivery,Package Not Received Despite Tracking Showing Delivered,"I placed an order two weeks ago and the tracking information shows that the package was delivered three days ago. However, I have not received the package. I checked with my neighbors and looked around my property but there is no sign of it. Could you please help me locate my package or send a replacement?","(""Customer verified that the package wasn't received. We have initiated a replacement order and expedited shipping at no extra cost. Apologized for the inconvenience and reassured of a swift resolution."",)",Resolved,2024-03-10 12:51:56.827004,2024-03-15 16:02:45.827004,False
CASE-68527,Account Management,Unable to Update Email Address in Account Settings,"I tried multiple times to update my email address through the account settings section, but the changes are not being saved. I've double-checked my entries for typos and tried using different browsers, but nothing seems to work. Please help me resolve this issue as I am not receiving order confirmations at my new email address.","('Our technical team has identified the issue as a glitch in the email update process. It has been fixed, and your email address has been successfully updated. Please try logging in again and let us know if the problem persists.',)",Resolved,2024-06-13 20:53:37.827004,2024-06-15 19:46:21.827004,False
CASE-84192,Payments and Billing,Unexpected Charge on Credit Card Statement,"I noticed an unrecognized charge on my credit card statement from your ecommerce platform. I double-checked my purchase history, and there were no orders matching the charge amount. Can you please help me identify and resolve this issue?","('We reviewed your transaction history and identified the charge as an accidental duplicate payment. The extra amount has been refunded to your credit card. Please check your statement in 3-5 business days to confirm the refund. Let us know if you have any further questions.',)",Closed,2024-05-23 05:15:53.827004,2024-05-24 12:16:18.827004,True
CASE-50014,Shipping and Delivery,Package Arrived Damaged and Missing Items,"I ordered a new set of kitchenware from your store two weeks ago, but when the package arrived, the box was severely damaged and several items, including two pots and a frying pan, were missing. This is very disappointing as I needed these items urgently. Please let me know how this situation can be resolved.","(""The missing items have been dispatched with expedited shipping at no additional cost to the customer. A partial refund for the damaged items has also been issued to the customer's original payment method."",)",Resolved,2024-04-21 10:57:06.827004,2024-04-27 04:56:57.827004,False
CASE-46089,Order Issues,Package Missing Items Upon Arrival,"I received my order today, but several items were missing from the package. Specifically, the Bluetooth headphones and the portable charger weren't included. However, I received the phone case and screen protector. Can you please look into this and resend the missing items?","('Items verified and confirmed missing from the original shipment. Replacement items shipped to the customer with expedited delivery at no additional cost. Tracking number emailed to the customer.',)",Open,2024-04-25 11:03:54.827004,2024-04-29 11:22:49.827004,False
CASE-61928,Shipping and Delivery,Package Not Delivered Despite Out for Delivery Notification,"I received a notification that my package was out for delivery yesterday, but it never arrived. I checked with my neighbors and no one has seen it. Can you help me locate my package? This is very urgent as it contains items I need for an upcoming event.","('Checked with the carrier and confirmed that the package was misrouted. It has now been located and is scheduled for delivery by end of the day tomorrow. Apologized to the customer and assured them of priority handling.',)",Resolved,2024-06-12 05:17:48.827004,2024-06-15 17:11:55.827004,False
CASE-21732,Returns and Refunds,Request for Refund Due to Wrong Item Received,"I ordered a pair of blue running shoes, but I received a pair of red sandals instead. I would like to return the sandals and get a refund for my purchase. Please advise on the return process and how soon I can expect the refund.","('Agent processed the return request and issued a refund. Customer was informed about the return shipping label and the expected timeframe for the refund to appear in their account.',)",Closed,2024-03-19 20:23:20.827004,2024-03-21 04:07:10.827004,False
CASE-14847,Shipping and Delivery,Package Still Not Delivered After 2 Weeks,I placed an order on the 1st of this month and received a tracking number but the package has not arrived yet. The tracking info has not been updated in over a week. Can you please help expedite the delivery or provide an update on the status?,"('We sincerely apologize for the delay in delivery. After investigating the issue with the shipping partner, we found that the package was stuck at a processing center. We have expedited the process and your package is now expected to arrive within the next 2 days. Thank you for your patience.',)",Resolved,2024-06-06 18:13:42.827004,2024-06-08 12:02:43.827004,False
CASE-94333,Payments and Billing,Incorrect Billing Amount Charged After Applying Discount Code,"I recently applied a 20% discount code to my order, but after completing the checkout process, I was charged the full amount rather than the discounted price. I have double-checked the code, and it was applied correctly during the checkout. Can you please look into this and refund the difference?","(""The issue was identified as a caching problem on our end where the discount code wasn't properly reflected in the final charge. We have issued a refund for the difference and provided an additional 10% discount on the next purchase as a goodwill gesture."",)",Open,2024-04-26 03:32:02.827004,2024-04-26 06:34:37.827004,False
CASE-42212,Promotions and Discounts,Customer unable to apply 20% off promotion code at checkout,"I tried to use the promotion code 'SAVE20' at checkout to get 20% off on my order, but it's not being applied. The system says the code is invalid even though it was advertised on your homepage. Can you please help me with this issue?","(""The issue was caused by a typo in the promotion code setting. The correct code is 'SAVE20NOW'. I have emailed the customer with the correct code and ensured it works on their next purchase."",)",In Progress,2024-06-06 19:26:37.827004,2024-06-07 01:55:46.827004,False
CASE-12193,Shipping and Delivery,Package Stuck in Transit for Over 2 Weeks,I placed an order on October 1st and the tracking information shows that my package has been in transit for over two weeks without any updates. I contacted the shipping carrier but they could not provide any additional information. Can you please help with locating my package and ensure it gets delivered as soon as possible?,"('The issue was resolved by contacting the logistics partner. The package was located and expedited for next-day delivery. Customer has been notified and provided with a new tracking number.',)",Resolved,2024-03-19 20:45:59.827004,2024-03-22 21:38:05.827004,False
CASE-36145,Shipping and Delivery,Package not Delivered After Two Weeks,"I placed an order on your site two weeks ago and have received no updates on the delivery status. According to the tracking number, the package was supposed to be delivered last week, but it still hasn't arrived. Can you please help me locate my shipment or provide an update on when I can expect it to arrive?","(""The package was confirmed lost in transit. We have processed a full refund and issued a 15% discount on the customer's next purchase as a goodwill gesture."",)",Resolved,2024-06-10 14:29:12.827004,2024-06-13 10:45:56.827004,False
